,Message ID,timestamp,content,reactions,share,photos,videos,call_duration,audio_files
195,2544,2025-02-05 21:53:52,Good choice,,,,,,
196,2550,2025-02-06 10:25:15,43,,,,,,
197,2553,2025-02-06 10:26:05,Bro that wasnât me I left my toilet clean,,,,,,
198,2556,2025-02-06 10:26:28,You donât seem trusting,"[{'reaction': 'ð\x9f\x98®', 'actor': 'shane'}]",,,,,
199,2559,2025-02-06 10:26:47,As long as you didnât have to clean it,,,,,,
200,2562,2025-02-06 10:38:14,Oh ye I forgot to say some dropped all their change into one of the toilets,,,,,,
201,2565,2025-02-06 10:41:19,Doing coke on coins?,,,,,,
202,2568,2025-02-06 10:42:04,Do you think thereâs still coke on the coins? I might need to go back and check it out,"[{'reaction': 'â\x9d¤', 'actor': 'Georgia-Rae'}]",,,,,
203,2570,2025-02-06 10:42:48,I was tempted yesterday even before ik they had some of santas sugar on them,,,,,,
204,2591,2025-02-06 12:55:38,Love when that happens,"[{'reaction': 'â\x9d¤', 'actor': 'Ruby Long'}]",,,,,
205,2606,2025-02-06 18:05:02,44 earlier during work,,,,,,
206,2607,2025-02-06 18:05:17,Forgot to update cuz I got rly light headed and was being called at thru the door,"[{'reaction': 'â\x9d¤', 'actor': 'Dan Griffin'}, {'reaction': 'â\x9d¤', 'actor': 'lalala lucky to have me here'}]",,,,,
207,2638,2025-02-07 12:56:12,Is that what you get for questioning sage?,,,,,,
208,2644,2025-02-07 13:02:44,Rly fucking around now,"[{'reaction': 'â\x9d¤', 'actor': 'Stephen Allen'}]",,,,,
209,2649,2025-02-07 13:29:29,45 wish Stephenâs mouth was near by,"[{'reaction': 'â\x9d¤', 'actor': 'Stephen Allen'}, {'reaction': 'ð\x9f\x98®', 'actor': 'Dan Griffin'}]",,,,,
210,2687,2025-02-08 12:20:45,I have before,,,,,,
211,2691,2025-02-08 12:31:31,46,,,,,,
212,2692,2025-02-08 12:32:09,Not in da clurb,"[{'reaction': 'ð\x9f\x98¢', 'actor': 'Dan Griffin'}, {'reaction': 'ð\x9f\x98¢', 'actor': 'Emma Smyth'}]",,,,,
213,2743,2025-02-09 13:41:31,47,,,,,,
214,2779,2025-02-10 09:02:17,Bro ate a ketchup sandwich,,,,,,
215,2780,2025-02-10 09:02:24,Not surprised it went straight thru him,,,,,,
216,2806,2025-02-10 12:03:48,That would up your poop rate for sure,"[{'reaction': 'â\x9d¤', 'actor': 'Ros Hanley'}]",,,,,
