,content,timestamp,reactions,share,audio_files,photos,videos,call_duration
149,Hehe nice,2024-03-17 14:15:06.828,"[{'reaction': 'â\x9d¤', 'actor': 'Ros Hanley'}]",,,,,
150,,2024-03-17 18:54:49.493,,"{'link': 'https://media2.giphy.com/media/v1.Y2lkPTQyMzA0NmQwdzl0Z3JvMnMzdWV0cnJxbDZxeTl1enVlOTAwOHFvZXk5MnF1dGJpbSZlcD12MV9naWZzX2dpZklkJmN0PWc/dmttI19RyT4zZKgLpr/200.gif', 'original_content_owner': 'MinkaComics'}",,,,
151,I need medical assistance lately,2024-03-17 18:55:09.496,"[{'reaction': 'â\x9d¤', 'actor': 'lalala lucky to have me here'}]",,,,,
152,,2024-03-22 23:13:02.676,,"{'link': 'https://media1.giphy.com/media/v1.Y2lkPTQyMzA0NmQwYXppYXIxazFxMXBza2Yzem94MWdyOWZnb2dycnBmNHo1YjZvMHRreSZlcD12MV9naWZzX2dpZklkJmN0PWc/ez3fwvjMUHOqhyTBnw/200.gif', 'original_content_owner': 'Severinoelmate'}",,,,
153,,2024-03-26 19:45:31.270,,"{'link': 'https://media3.giphy.com/media/v1.Y2lkPTQyMzA0NmQwM2h2emJxaWFxOHRsdTYwMzgyZzgwb3BwbHplaG9yYTlrMHp0cnU4eSZlcD12MV9naWZzX2dpZklkJmN0PWc/TMQhWUHuhTC7C3mm14/200.gif', 'original_content_owner': 'goheels'}",,,,
154,Probably tomorrow lets be real,2024-03-26 19:58:03.955,"[{'reaction': 'â\x9d¤', 'actor': 'Dan Griffin'}]",,,,,
155,,2024-03-28 06:40:30.074,,"{'link': 'https://media1.giphy.com/media/v1.Y2lkPTQyMzA0NmQwMm1zZHB3cjZ4aXUwZjY1dW1oNm1zb3l6endhaGF1NTIwMWoyMG41YiZlcD12MV9naWZzX2dpZklkJmN0PWc/9x7JufVnRD5jPhaztF/200.gif', 'original_content_owner': '73moto'}",,,,
156,,2024-03-28 13:37:10.412,,"{'link': 'https://media1.giphy.com/media/v1.Y2lkPTQyMzA0NmQwazlzNXVha2V2djlmZXAwdXZ6N2lveWl2amg4aWlybXl2ZzRkam90cCZlcD12MV9naWZzX2dpZklkJmN0PWc/YnNf0IZRXO7eEi2pZG/200.gif', 'original_content_owner': 'xponentialdesign'}",,,,
157,,2024-04-01 12:48:49.130,,"{'link': 'https://media4.giphy.com/media/v1.Y2lkPTQyMzA0NmQwOGcwbXVicGVmZmJ0eGd2dmJjdG42NTFubm44andnMWQzeGg5a2RzMSZlcD12MV9naWZzX2dpZklkJmN0PWc/1hfVwqsuNjrdPOCRNL/200.gif', 'original_content_owner': 'PurdueUniversity'}",,,,
158,,2024-04-03 14:27:21.017,,"{'link': 'https://media2.giphy.com/media/v1.Y2lkPTQyMzA0NmQwZTY4NmV6dWNtY2kzYXMwZGw5emRiZnk3b3h2dW43NXJxMzhnbGNpOCZlcD12MV9naWZzX2dpZklkJmN0PWc/jUnhIrwdZ6p8nIgH31/200.gif', 'original_content_owner': 'bethesda'}",,,,
159,,2024-04-04 14:30:48.440,,"{'link': 'https://media1.giphy.com/media/v1.Y2lkPTQyMzA0NmQwZDd6eDB1MDhhMjFtbDA0eGx3cTBzY3lzZW90NTBub3hsd2R2dTVvaiZlcD12MV9naWZzX2dpZklkJmN0PWc/34hAcIJVMneTu8GEp3/200.gif', 'original_content_owner': 'BancoInter'}",,,,
160,I cant keep up with this ððð,2024-04-05 22:17:27.335,,,,,,
161,I eat pieces of shit like you for breakfast ð,2024-04-05 23:48:32.420,,,,,,
162,,2024-04-05 23:48:44.362,,{'link': 'https://media4.giphy.com/media/v1.Y2lkPTQyMzA0NmQwM3o5d280emk1YmV6Z2d6bmE0eWE3N3J1djRobTJ1NXNnejl1MDZscCZlcD12MV9naWZzX2dpZklkJmN0PWc/phajKPhwNxHr2/200.gif'},,,,
163,,2024-04-06 18:23:05.881,,"{'link': 'https://media2.giphy.com/media/v1.Y2lkPTQyMzA0NmQwazRqdHpqZ2Y5NTM0NG53cTE2MXJsbHVvZHpwMDRkNDluejdtN2tlaSZlcD12MV9naWZzX2dpZklkJmN0PWc/8aaViSRKfsIAHqnZ5Y/200.gif', 'original_content_owner': 'richmondspiders'}",,,,
164,In a pub i dont plan to buy anything in,2024-04-06 18:23:28.453,"[{'reaction': 'â\x9d¤', 'actor': 'lalala lucky to have me here'}, {'reaction': 'â\x9d¤', 'actor': 'Dan Griffin'}, {'reaction': 'â\x9d¤', 'actor': 'Ros Hanley'}]",,,,,
165,Nah i just dumped and ditched,2024-04-06 18:32:17.736,,,,,,
166,,2024-04-07 18:28:50.521,,"{'link': 'https://media4.giphy.com/media/v1.Y2lkPTQyMzA0NmQwc3hzcmFva2gxZW52OHczZDV6c3h0MTdlbDByNjgxOTRrYXVmamRjbCZlcD12MV9naWZzX2dpZklkJmN0PWc/4uxy9D5qkfrTU3yQMd/200.gif', 'original_content_owner': 'sybarites'}",,,,
167,,2024-04-08 20:03:10.425,,"{'link': 'https://media0.giphy.com/media/v1.Y2lkPTQyMzA0NmQwdHI3YzR1MGlhMXZjOXU4Zm4zeWU5YXB1aGdpYTg1Yngwdmc5dGpyYyZlcD12MV9naWZzX2dpZklkJmN0PWc/zvgM3T143G2s6NhPeO/200.gif', 'original_content_owner': 'Retourversleturfu'}",,,,
168,,2024-04-09 18:12:35.647,,"{'link': 'https://media0.giphy.com/media/v1.Y2lkPTQyMzA0NmQwNmwxZjRxcWoxNG92bmFicmVha2hoY2d1aDIxcGk4OWlyeWpkZ2NidyZlcD12MV9naWZzX2dpZklkJmN0PWc/ON8Qu2w1cSROPfhWww/200.gif', 'original_content_owner': 'goheels'}",,,,
169,,2024-04-14 14:51:44.171,,"{'link': 'https://media2.giphy.com/media/v1.Y2lkPTQyMzA0NmQwOTU2Yng4anZ6ODNwZXR0aXE2dXlndGhwdWM3NmM0OWZzYWN5eHZ1aSZlcD12MV9naWZzX2dpZklkJmN0PWc/CPTKmOsIxmleZbXbPc/200.gif', 'original_content_owner': 'news'}",,,,
170,At 3am,2024-04-14 14:51:50.344,,,,,,
171,,2024-04-14 14:52:02.898,,"{'link': 'https://media3.giphy.com/media/v1.Y2lkPTQyMzA0NmQwMXE3aTZkY2hhMnBkMzJqejkzaTh3b2FsOHMwYXF4d25hcWY0Nnk1OSZlcD12MV9naWZzX2dpZklkJmN0PWc/gFsfVMDEDiHGcBp7BO/200.gif', 'original_content_owner': 'xponentialdesign'}",,,,
172,Right now,2024-04-14 14:52:07.285,,,,,,
173,,2024-04-15 10:32:12.313,,"{'link': 'https://media0.giphy.com/media/v1.Y2lkPTQyMzA0NmQwcHFnZHlsbG5zNDljdGllem1iaWJxYzNtbGRyMGhzMTM4cDVydmhhbSZlcD12MV9naWZzX2dpZklkJmN0PWc/jU90xUPUWdhv1X9yNa/200.gif', 'original_content_owner': '84Lumber'}",,,,
174,Ive had 3 shits since my last update but if theres a lat shit entry penalty i understand haahah,2024-04-20 23:50:39.213,,,,,,
175,Anyways... id be on 87,2024-04-20 23:50:52.794,,,,,,
176,,2024-04-24 19:06:04.239,"[{'reaction': 'â\x9d¤', 'actor': 'Dan Griffin'}, {'reaction': 'â\x9d¤', 'actor': 'lalala lucky to have me here'}, {'reaction': 'â\x9d¤', 'actor': 'Dex'}]","{'link': 'https://media0.giphy.com/media/v1.Y2lkPTQyMzA0NmQwZmdtZHp5bHRyZ3N0bmg5b3hlOHM3ZHlvMjZpMTVjd2trNnh3eTAxbyZlcD12MV9naWZzX2dpZklkJmN0PWc/hLcJeADSK8FZWG0iGv/200.gif', 'original_content_owner': 'SportsManias'}",,,,
177,,2024-04-26 09:43:14.593,"[{'reaction': 'â\x9d¤', 'actor': 'Dex'}]",{'link': 'https://media4.giphy.com/media/v1.Y2lkPTQyMzA0NmQwNGE4YWpuazZpM3gyemhhYzB1YXc4YTZmdTR3aDg0NG9hOXA0aGxzMSZlcD12MV9naWZzX2dpZklkJmN0PWc/41H9B5hoorbuE/200.gif'},,,,
178,89,2024-04-26 09:43:17.828,,,,,,
179,,2024-04-26 19:31:45.776,,"{'link': 'https://media3.giphy.com/media/v1.Y2lkPTQyMzA0NmQwaDRsOHQyOGV1cXZvNW9wdmRoMGw5YzJtM3FrY3owa3l6aGdnd2dzZSZlcD12MV9naWZzX2dpZklkJmN0PWc/SsREUVPrfleTYdQPeP/200.gif', 'original_content_owner': 'dgraficols'}",,,,
180,,2024-04-27 10:09:35.475,,"{'link': 'https://media2.giphy.com/media/v1.Y2lkPTQyMzA0NmQwdnRyOW4yaWcxemQ0czZqcmE5ZWZ2MTdlaTB5NjFjcjl5am14cXg1OSZlcD12MV9naWZzX2dpZklkJmN0PWc/kZWCLzVyEZ4SjFv3g0/200.gif', 'original_content_owner': 'eretic33-176'}",,,,
181,Sludgey,2024-04-27 10:09:51.965,,,,,,
182,Jack sent an attachment.,2024-04-27 10:18:02.183,,"{'link': 'https://www.instagram.com/reel/C5qvkrUyJv1/?id=3344694901882788853_409106797', 'share_text': 'I love #japantoilets #japan', 'original_content_owner': 'dewychoo'}",,,,
183,,2024-05-02 11:35:22.761,"[{'reaction': 'â\x9d¤', 'actor': 'Stephen Allen'}]","{'link': 'https://media1.giphy.com/media/v1.Y2lkPTQyMzA0NmQweHI5YWx3aHA1Mmo0d29iYWxzZWZhMzZtcGUxaDZldnVoNTZhM3ZzNSZlcD12MV9naWZzX2dpZklkJmN0PWc/VSB6oUCMX6tTLYpnHQ/200.gif', 'original_content_owner': '92DegreesUK'}",,,,
184,I think its been nearly a week ð,2024-05-02 11:35:41.348,"[{'reaction': 'ð\x9f\x98®', 'actor': 'ð\x9d\x93\x94ð\x9d\x93¸ð\x9d\x93²ð\x9d\x93·'}]",,,,,
185,,2024-05-04 16:37:42.653,"[{'reaction': 'â\x9d¤', 'actor': 'Conor Mcmenamin'}]",,,"[{'uri': 'your_instagram_activity/messages/inbox/weaponsofassdestruction_6833428546725359/photos/440258567_1088110488919011_5421454179560699354_n_1088110485585678.jpg', 'creation_timestamp': 1714840661}]",,
186,I had some poop chat confusion with conan,2024-05-04 16:38:05.686,"[{'reaction': 'â\x9d¤', 'actor': 'Dex'}, {'reaction': 'â\x9d¤', 'actor': 'Conor Mcmenamin'}, {'reaction': 'â\x9d¤', 'actor': 'lalala lucky to have me here'}]",,,,,
187,Why ð,2024-05-04 16:42:42.581,,,,,,
188,,2024-05-05 08:22:04.119,,{'link': 'https://media1.giphy.com/media/v1.Y2lkPTQyMzA0NmQwZ2h3a3BpOG02MWVnNThrODVicjFjenhvcXVpaHl6YWYzbWN1MGo1diZlcD12MV9naWZzX2dpZklkJmN0PWc/3ohc0Whky06XTd1Mre/200.gif'},,,,
189,,2024-05-05 16:50:12.805,,"{'link': 'https://media2.giphy.com/media/v1.Y2lkPTQyMzA0NmQweGZ4djNxejVmNG9udWxoc24yZnZkNHcwbG0yMWQxMWpqc3h4YWFiYSZlcD12MV9naWZzX2dpZklkJmN0PWc/zpEDUL2cxpZat6Z6WJ/200.gif', 'original_content_owner': 'utrockets'}",,,,
190,I cant wait to not shit again for another week hahaha,2024-05-05 16:50:32.883,,,,,,
191,This is the real reason they call him luke the nuke,2024-05-07 10:04:19.986,"[{'reaction': 'â\x9d¤', 'actor': 'Stephen Allen'}, {'reaction': 'â\x9d¤', 'actor': 'Ros Hanley'}, {'reaction': 'â\x9d¤', 'actor': 'lalala lucky to have me here'}]",,,,,
192,,2024-05-10 06:08:25.592,,"{'link': 'https://media2.giphy.com/media/v1.Y2lkPTQyMzA0NmQweDhpYmRnbGlpbGJ0N3YweGd6aGxzcHp4c3Y1YTZnZGJmcGcwNmx2NSZlcD12MV9naWZzX2dpZklkJmN0PWc/UuKwKIRDcjutFGDsdf/200.gif', 'original_content_owner': 'Bar96Kni'}",,,,
193,,2024-05-12 12:12:50.703,,"{'link': 'https://media3.giphy.com/media/v1.Y2lkPTQyMzA0NmQwNWl3N3l2OHNjcjRvbjNoZng2dmRwNHVjaWphZmppN2xqZTRxcjVqaCZlcD12MV9naWZzX2dpZklkJmN0PWc/XHZeE7920OIsO6U3lN/200.gif', 'original_content_owner': 'goheels'}",,,,
194,,2024-05-13 13:26:08.337,"[{'reaction': 'â\x9d¤', 'actor': 'ð\x9d\x93\x94ð\x9d\x93¸ð\x9d\x93²ð\x9d\x93·'}, {'reaction': 'â\x9d¤', 'actor': 'Dex'}]","{'link': 'https://media2.giphy.com/media/v1.Y2lkPTQyMzA0NmQwOHVkbmNrN3hmZGVmdHVuOG1oaXhndXU0MHRieHEwb2prbTVpcWl5MCZlcD12MV9naWZzX2dpZklkJmN0PWc/rcfc8i5WIoKXMxlCEw/200.gif', 'original_content_owner': 'nbc'}",,,,
195,,2024-05-15 10:37:27.400,"[{'reaction': 'â\x9d¤', 'actor': 'Dex'}, {'reaction': 'â\x9d¤', 'actor': 'lalala lucky to have me here'}]","{'link': 'https://media3.giphy.com/media/v1.Y2lkPTQyMzA0NmQwYWN5MWh3N3ZiMmM3bTBvdWZncXA3OGVkd2NoZ2c4YXVoeXczdHA5ayZlcD12MV9naWZzX2dpZklkJmN0PWc/l41lLuV3wRmJ0DxCw/200.gif', 'original_content_owner': 'att'}",,,,
196,I had a turky today,2024-05-18 21:54:44.805,"[{'reaction': 'â\x9d¤', 'actor': 'Dex'}]",,,,,
197,So 103,2024-05-18 21:54:49.373,,,,,,
198,,2024-05-18 21:55:30.078,,"{'link': 'https://media0.giphy.com/media/v1.Y2lkPTA3MTNiODVjZmhuNjNib2l2czdmZjV4NHoyaHNnbTRtN2wwcWF5d2ppdXVxZDJjNyZlcD12MV9naWZzX2dpZklkJmN0PXM/5EqekSsuAkjGchtDtR/200.gif', 'original_content_owner': 'RTK103'}",,,,
199,,2024-05-21 20:42:39.667,,"{'link': 'https://media2.giphy.com/media/v1.Y2lkPTQyMzA0NmQwdXJmNGFyd2JwcXdiNGVtODZieDIwa25xczcxcXY5ajhlZGlpOWtyeCZlcD12MV9naWZzX2dpZklkJmN0PWc/gHciFWDVZ68q1bCPVF/200.gif', 'original_content_owner': 'redepampa'}",,,,
200,Ive had 4 since my lat update,2024-05-28 13:05:56.716,,,,,,
201,So 107,2024-05-28 13:06:02.098,,,,,,
202,,2024-05-30 00:04:59.529,,,,"[{'uri': 'your_instagram_activity/messages/inbox/weaponsofassdestruction_6833428546725359/photos/442456551_837029788273050_3983266007671358705_n_837029784939717.jpg', 'creation_timestamp': 1717027498}]",,
203,108,2024-05-30 00:05:24.724,,,,,,
204,Would like 8 or 9ish be too late ?,2024-06-28 16:22:42.330,,,,,,
